steps,survivors_saved,survivors_dead,agents_lost,ethical_score,run_dir
38,3,15,1,-117.0,out/batch/run_01
38,4,14,3,-157.0,out/batch/run_02
300,3,14,6,-248.0,out/batch/run_03
84,3,15,3,-197.0,out/batch/run_04
300,1,14,6,-311.0,out/batch/run_05
41,4,14,3,-109.0,out/batch/run_06
35,2,16,2,-167.0,out/batch/run_07
36,3,15,3,-106.0,out/batch/run_08
39,3,15,3,-115.0,out/batch/run_09
43,3,15,2,-137.0,out/batch/run_10
300,1,15,6,-239.0,out/batch/run_11
38,4,14,1,-87.0,out/batch/run_12
52,1,17,3,-250.0,out/batch/run_13
71,2,16,5,-270.0,out/batch/run_14
42,4,14,2,-180.0,out/batch/run_15
35,3,15,1,-113.0,out/batch/run_16
37,3,15,2,-144.0,out/batch/run_17
49,3,15,3,-134.0,out/batch/run_18
34,4,14,0,-93.0,out/batch/run_19
40,4,14,2,-94.0,out/batch/run_20
