step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,0.0,23.0,117.71
2,0,0,18,0,-6.0,28.0,115.57
3,0,0,18,0,-8.0,31.0,112.71
4,0,0,18,0,-10.0,39.0,110.43
5,1,0,17,0,-4.0,53.0,106.71
6,1,0,17,0,-4.0,62.0,104.43
7,1,0,17,0,-6.0,75.0,101.29
8,2,0,16,0,7.0,81.0,97.57
9,2,0,16,0,1.0,101.0,95.29
10,2,0,16,0,-5.0,116.0,93.0
11,2,0,16,0,-11.0,123.0,90.71
12,2,0,16,0,-19.0,123.0,88.43
13,2,0,16,0,-27.0,123.0,86.14
14,2,0,16,0,-40.0,123.0,83.5
15,2,1,15,1,-56.0,123.0,81.5
16,2,2,14,1,-71.0,123.0,78.33
17,2,2,14,1,-75.0,123.0,76.17
18,2,2,14,1,-75.0,123.0,74.0
19,2,4,12,1,-83.0,123.0,72.0
20,2,5,11,1,-91.0,123.0,69.83
21,2,6,10,1,-101.0,123.0,67.67
22,2,7,9,1,-111.0,123.0,65.5
23,2,8,8,1,-121.0,123.0,63.33
24,2,8,8,1,-123.0,123.0,61.17
25,2,10,6,1,-131.0,123.0,59.17
26,2,11,5,1,-135.0,123.0,57.33
27,2,13,3,1,-145.0,123.0,55.5
28,2,13,3,1,-147.0,123.0,51.6
29,2,13,3,2,-153.0,123.0,49.4
30,2,14,2,2,-157.0,123.0,47.6
31,2,14,2,2,-157.0,123.0,45.8
32,2,14,2,2,-159.0,123.0,43.6
33,2,14,2,2,-159.0,123.0,46.2
34,2,15,1,2,-163.0,123.0,44.0
35,2,16,0,2,-167.0,123.0,46.4
